duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7,
3.0,0.0,-0.8298240196989367,0.33289071953274074,-0.024452004045243097,0,0,0,0,-3.0,0.31891926330386267,-0.1606672119216424,0.021039545034082285,0,0,0,0,0.0,1.478963025924352,-0.26839713622544054,0.015390147790683931,0,0,0,0,0,0,0,0,0,0,0,0,
3.0,-0.02016129032258096,0.5591427790802375,0.09448368009162056,-0.0244520040452431,0,0,0,0,-2.938311688311688,-0.05872703091933054,0.04446835216065988,0.02103954503408228,0,0,0,0,2.5,0.2220569485762856,-0.1183431952662722,0.015390147790683931,0,0,0,0,0,0,0,0,0,0,0,0,
3.0,1.955645161290322,0.3984638214921303,-0.14392335934949968,0.005678758388225262,0,0,0,0,-1.937229437229437,0.8970078413924407,0.24960391624296208,-0.05019946898872323,0,0,0,0,2.5,-0.05949851253718657,0.03171074569289614,-0.004124157251098309,0,0,0,0,0,0,0,0,0,0,0,0,
3.0,1.9254032258064502,-0.3570923578527298,-0.0885554650643034,0.004673526206145411,0,0,0,0,1.8912337662337677,0.9287376233915268,-0.23984090639708955,0.022913203661482175,0,0,0,0,2.5,0.015937101572460685,-0.008499787505312367,0.001106481213709302,0,0,0,0,0,0,0,0,0,0,0,0,
3.0,-0.010080645161290924,-0.7846105191134691,-0.04298858455438545,0.023786650493566742,0,0,0,0,3.162878787878789,0.09583387283366097,-0.016437170697638365,-0.038694763016965956,0,0,0,0,2.5,-0.004249893752656182,0.002288404328353329,-0.00030176760373890055,0,0,0,0,0,0,0,0,0,0,0,0,
3.0,-2.197580645161291,-0.31029683120207835,0.18893125775789027,-0.029049135477753334,0,0,0,0,1.9724025974025974,-1.2371480398010972,-0.3937111101130564,0.12004335137678408,0,0,0,0,2.5,0.0010624734381640456,-0.0006538298081009511,0.00010058920124630018,0,0,0,0,0,0,0,0,0,0,0,0,
3.0,-2.207661290322581,-0.002738136227100485,-0.09429781315020477,0.02927394357067607,0,0,0,0,-2.0860389610389607,0.007603441215881752,0.7767115658105882,-0.1206948897537549,0,0,0,0,2.5,3.575527519806435e-20,0.00032691490405047563,-0.00010058920124630019,0,0,0,0,0,0,0,0,0,0,0,0,
3.0,-2.207661290322581,0.3119441651923665,0.19112313666388694,-0.02432337981541978,0,0,0,0,1.9994588744588757,1.2317092999125965,-0.40006360928852214,0.03958795549590061,0,0,0,0,2.5,-0.0010624734381640458,-0.0006538298081009514,0.0003017676037389006,0,0,0,0,0,0,0,0,0,0,0,0,
3.0,-0.010080645161290924,0.7834974556065175,-0.04602981653645583,-0.0042196948685576646,0,0,0,0,3.1358225108225124,-0.11426082068644673,-0.014081043203491156,-0.02189360285705077,0,0,0,0,2.5,0.004249893752656183,0.0022884043283533297,-0.0011064812137093023,0,0,0,0,0,0,0,0,0,0,0,0,
3.0,1.90524193548387,0.3505920669721336,-0.08717184150489306,-0.0054890765598217,0,0,0,0,1.8641774891774894,-0.8995411420419354,-0.2275436710597362,0.04483379005774319,0,0,0,0,2.5,-0.01593710157246069,-0.00849978750531237,0.0041241572510983095,0,0,0,0,0,0,0,0,0,0,0,0,
3.0,1.935483870967742,-0.38996001629902144,-0.1406903379631546,0.02382675653680175,0,0,0,0,-1.9237012987012987,-0.9579042814754833,0.20958578200325986,-0.002566846286193138,0,0,0,0,2.5,0.05949851253718658,0.03171074569289614,-0.015390147790683935,0,0,0,0,0,0,0,0,0,0,0,0,
3.0,-8.881784197001252e-16,-0.5494368652996211,0.09162053827066238,0.023826756536801757,0,0,0,0,-2.911255411255411,0.32306635985196064,0.18455903071287674,-0.0025668462861930747,0,0,0,0,2.5,-0.22205694857628563,-0.11834319526627224,-0.01539014779068391,0,0,0,0,0,0,0,0,0,0,0,0,
